ano,product_category,faturamento_categoria
2018,artes_e_artesanato,2008.92
2018,fraldas_higiene,1890.58
2018,dvds_blu_ray,1674.85
2018,tablets_impressao_imagem,1541.83
2018,flores,1216.64
2018,pc_gamer,1095.46
2018,la_cuisine,890.85
2018,fashion_roupa_feminina,783.37
2018,fashion_esporte,431.19
2018,casa_conforto_2,283.91
2018,fashion_roupa_infanto_juvenil,194.04
2018,cds_dvds_musicais,117.58
